Бит 1, power_0=0.43, power_1=1.97, pos=169290
Бит 1, power_0=0.97, power_1=4.42, pos=169950
Бит 1, power_0=0.78, power_1=3.85, pos=170940
Бит 0, power_0=887.68, power_1=16.39, pos=175450
Бит 1, power_0=0.46, power_1=1.93, pos=177210
Бит 1, power_0=0.81, power_1=3.69, pos=177650
Бит 1, power_0=1.07, power_1=4.57, pos=178860
Бит 0, power_0=765.68, power_1=13.22, pos=180510
Бит 0, power_0=705.65, power_1=15.63, pos=181940
Бит 1, power_0=8.81, power_1=1164.15, pos=183370
Бит 1, power_0=1.89, power_1=8.22, pos=185460
Бит 1, power_0=6.99, power_1=27.58, pos=186230
Бит 1, power_0=0.32, power_1=1.35, pos=186780
Бит 0, power_0=570.63, power_1=12.53, pos=188430
Бит 0, power_0=529.56, power_1=11.51, pos=189860
Бит 0, power_0=493.73, power_1=14.32, pos=191290
Бит 1, power_0=0.61, power_1=3.01, pos=193160
Бит 1, power_0=0.90, power_1=4.31, pos=193820
Бит 1, power_0=0.55, power_1=2.62, pos=194700
Бит 1, power_0=9.41, power_1=566.22, pos=196350
Бит 1, power_0=2.40, power_1=2062.45, pos=197120
Бит 1, power_0=0.28, power_1=1.43, pos=200970
Бит 1, power_0=11.95, power_1=50.08, pos=201520
Бит 1, power_0=1.48, power_1=7.20, pos=202620
Бит 1, power_0=3.84, power_1=1791.25, pos=203610
Бит 1, power_0=4.87, power_1=1749.98, pos=205040
Бит 1, power_0=2.06, power_1=8.09, pos=209220
Бит 1, power_0=2.50, power_1=9.41, pos=210540
Бит 0, power_0=802.00, power_1=15.27, pos=211530
Бит 1, power_0=1.10, power_1=2283.98, pos=212300
Бит 0, power_0=765.68, power_1=13.22, pos=214390
Бит 1, power_0=6.42, power_1=1227.45, pos=215820
Бит 1, power_0=0.86, power_1=4.22, pos=217030
Бит 1, power_0=0.85, power_1=4.18, pos=217690
Бит 1, power_0=0.35, power_1=1.82, pos=218460
Бит 1, power_0=9.64, power_1=995.48, pos=219450
Бит 1, power_0=7.51, power_1=933.26, pos=220880
Бит 0, power_0=570.63, power_1=12.53, pos=222310
Бит 0, power_0=529.56, power_1=11.51, pos=223740
Бит 1, power_0=0.18, power_1=0.96, pos=224730
Бит 1, power_0=0.82, power_1=4.04, pos=225390
Бит 1, power_0=1.13, power_1=5.58, pos=226380
Бит 0, power_0=386.68, power_1=11.70, pos=230230
Бит 1, power_0=2.40, power_1=2062.45, pos=231000
Бит 1, power_0=2.30, power_1=9.36, pos=233090
Бит 1, power_0=2.21, power_1=9.85, pos=234300
Бит 1, power_0=6.35, power_1=391.02, pos=235290
Бит 1, power_0=0.78, power_1=3.55, pos=240790
Бит 1, power_0=0.96, power_1=4.43, pos=241450
Бит 1, power_0=0.50, power_1=2.25, pos=242330
Бит 1, power_0=5.31, power_1=1466.29, pos=243980
